wait_thr,flows_plus,detected,rate,TTR_P50,TTR_P90,TTR_avg,TTR_max
0.3000,2255,2249,0.997339,0.000000,0.000000,0.018527,13.714951
0.4000,2255,2249,0.997339,0.000000,0.000000,0.018527,13.714951
0.5000,2255,2249,0.997339,0.000000,0.000000,0.018527,13.714951
0.5500,2255,2248,0.996896,0.000000,0.000000,0.020858,13.714951
0.6000,2255,2245,0.995565,0.000000,0.000000,0.062499,83.286064
0.7000,2255,2238,0.992461,0.000000,0.000000,0.167099,125.581115
0.8000,2255,2223,0.985809,0.000000,0.000000,0.208976,125.581115
